排序,標題,縣市,區域,類別,備註,推薦者,搜尋連結,詳細地址,原始地址,評價,評論數,消費金額,標記刪除,商店網址,緯度,經度,flag,分享連結,flag2
1,ANNIES HAIR,台北市,信義區,髮廊,https://www.threads.com/@xunxunbaby,,https://maps.app.goo.gl/cxNvdU5mBPjy3Tig8,忠孝東路五段71巷11弄3號1樓,110台北市信義區忠孝東路五段71巷11弄3號1樓,4.6,84,,,,25.0420353,121.5676011,,https://maps.app.goo.gl/cxNvdU5mBPjy3Tig8,
2,吉祥茶業,台北市,中山區,茶葉店,,,https://maps.app.goo.gl/Rq2zg2XB6k89om5o6,10491 渭水路中山區台北市18號1樓,"1樓, No. 18號渭水路中山區台北市10491",4.8,24,,,,25.0456279,121.5339021,,https://maps.app.goo.gl/Rq2zg2XB6k89om5o6,
3,悠遊美甲工作室 Yu Nail It | 中永和美甲,新北市,永和區,指甲腳甲修飾專門店,老闆是雙和罷免志工,,"https://www.google.com/maps/search/%E6%82%A0%E9%81%8A%E7%BE%8E%E7%94%B2%E5%B7%A5%E4%BD%9C%E5%AE%A4+Yu+Nail+It+%7C+%E4%B8%AD%E6%B0%B8%E5%92%8C%E7%BE%8E%E7%94%B2+%E5%9B%9B%E7%B6%AD%E8%A1%9785%E8%99%9F3%E6%A8%93/@24.5861201,120.3918129,9z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MDkyMy4wIKXMDSoASAFQAw%3D%3D",四維街85號3樓,234新北市永和區四維街85號3樓,5,42,,,,24.9979193,121.5246754,,,
4,開飯川食堂 小碧潭店,新北市,新店區,四川料理,,,https://maps.app.goo.gl/Wr2XmUsRVqiVjA6B6,中央路157號京站時尚廣場5樓,231602新北市新店區中央路157號京站時尚廣場5樓,4.3,765,$600-800,,,24.9723512,121.5307121,,https://maps.app.goo.gl/Wr2XmUsRVqiVjA6B6,
6,摩斯漢堡- 興隆店,台北市,文山區,漢堡飽,,,https://maps.app.goo.gl/ghrLeGr32GZdHzjm9,興隆路三段44號,116台北市文山區興隆路三段44號,3.6,638,$1-200,,,25.000261,121.5556421,,https://maps.app.goo.gl/ghrLeGr32GZdHzjm9,
7,當用模型店,高雄市,三民區,模型店,,,https://maps.app.goo.gl/ZhRTpjJST1k9CZP56,807台灣三民區自立一路135號,807台灣三民區自立一路135號,4.5,54,,,,22.6384449,120.2960292,,https://maps.app.goo.gl/ZhRTpjJST1k9CZP56,
8,觀心圓養生餐廳,高雄市,新興區,長壽飲食,,,https://maps.app.goo.gl/VcmDEUHiaNppprm48,洛陽街75-1號,800高雄市新興區洛陽街75-1號,4.7,60,$600-800,,,22.6344716,120.308946,,https://maps.app.goo.gl/VcmDEUHiaNppprm48,
9,舊派,高雄市,新興區,冰品飲料店,闆是也是台派🤝,,https://maps.app.goo.gl/TUQgmhnWXQsC2CYbA,忠孝一路281號鉄井家樓上3樓,800高雄市新興區忠孝一路281號鉄井家樓上3樓,4.9,26,$1-200,,,22.6321039,120.3060177,,https://maps.app.goo.gl/TUQgmhnWXQsC2CYbA,
10,逍遙園,高雄市,新興區,歷史建築,,,https://maps.app.goo.gl/Lo9df9GRcjtsb72f8,六合一路55巷15號錦田路為入口處,800高雄市新興區六合一路55巷15號錦田路為入口處,4.5,"3,711",,,,22.6317765,120.3097146,,https://maps.app.goo.gl/Lo9df9GRcjtsb72f8,
11,麥田屋 蕎麥麵專賣 X 日式關東煮,高雄市,三民區,永久歇業,老闆傑哥有大智慧，很有料，東西也好吃,,https://maps.app.goo.gl/QFaztmsx95Pyy4nA7,中山一路303號補習班側門求精,807高雄市三民區中山一路303號補習班側門求精,5,13,,,,22.6369393,120.3021161,,https://maps.app.goo.gl/QFaztmsx95Pyy4nA7,
12,百世專業牙醫診所｜全口重建｜ALL-on-4/6｜隱形矯正｜植牙｜水平智齒,高雄市,鳳山區,植牙及牙周病醫生,,,https://maps.app.goo.gl/rwLHkqW75ur3HXXe8,文龍東路296號,830高雄市鳳山區文龍東路296號,4.9,"1,182",,,,22.6407483,120.3663815,,https://maps.app.goo.gl/rwLHkqW75ur3HXXe8,
13,猜心泡芙 泰順店,高雄市,苓雅區,甜品店,,,https://maps.app.goo.gl/JBsBaja3yX2t8LnY6,泰順街60號1樓,802高雄市苓雅區泰順街60號1樓,4.5,"3,821",$,,,22.6314535,120.3179784,,https://maps.app.goo.gl/JBsBaja3yX2t8LnY6,
14,黃家粉圓冰,高雄市,前金區,甜品自助餐,,,https://maps.app.goo.gl/WJGuHTbT8SAvAc9EA,河南二路131號,801高雄市前金區河南二路131號,4.2,"2,844",$1-200,,,22.6342924,120.292584,,https://maps.app.goo.gl/WJGuHTbT8SAvAc9EA,
15,冬粉王,高雄市,鹽埕區,熟食店,貼邁邁跟林佳龍的春聯,,https://maps.app.goo.gl/qS2V6sxhu4xpCRDz7,七賢三路168號,803高雄市鹽埕區七賢三路168號,4.1,"4,513",$1-200,,,22.6271961,120.2829129,,https://maps.app.goo.gl/qS2V6sxhu4xpCRDz7,
17,菜包李小吃部,高雄市,前金區,海鮮,,,https://maps.app.goo.gl/3jeEtejHiSPuuwH7A,河南二路137號,801高雄市前金區河南二路137號,4.2,921,$$$,,,22.6341714,120.2922505,,https://maps.app.goo.gl/3jeEtejHiSPuuwH7A,
18,良方藥局,台南市,永康區,藥房,,,https://maps.app.goo.gl/QXj2kJAvJPtwm5qd6,中山路39號,710台南市永康區中山路39號,5,3,,,,23.0273579,120.2566879,,https://maps.app.goo.gl/QXj2kJAvJPtwm5qd6,
19,玉春花拌飯館,高雄市,三民區,餐廳,,,https://maps.app.goo.gl/uXkKuEGHduCEEkEu7,九如二路240號,807高雄市三民區九如二路240號,4.6,251,$1-200,,,22.6411676,120.3057019,,https://maps.app.goo.gl/uXkKuEGHduCEEkEu7,
20,散步舖傢具 高雄門市,高雄市,三民區,家居用品店,,,https://maps.app.goo.gl/ssetvSEGLy46L8cK7,市中一路306號,807高雄市三民區市中一路306號,5,28,,,,22.6335596,120.2882946,,https://maps.app.goo.gl/ssetvSEGLy46L8cK7,
21,肉粽泰Tai,高雄市,鹽埕區,台灣菜,2018老闆支持陳其邁後遭韓粉出征，之後高調表態挺民進黨跟獨派,,https://maps.app.goo.gl/Kzq9MRpdnJhZLRLz6,新興街289號,803高雄市鹽埕區新興街289號,4.2,13570,$1-200,,,22.6316653,120.2842304,,https://maps.app.goo.gl/Kzq9MRpdnJhZLRLz6,
22,赤山黃鴨肉麵,高雄市,鳳山區,麵店,,,https://maps.app.goo.gl/YmFcRk53yWKYrBTq7,文德路91號,830高雄市鳳山區文德路91號,4.3,118,$1-200,,,22.6401136,120.3529893,,https://maps.app.goo.gl/YmFcRk53yWKYrBTq7,
23,法果子小串烤 凱龍星店 新興區宵夜/寵物友善/I人獨食首選/塔羅紫微洞悉卡,高雄市,新興區,燒烤,店長參加過光復高雄跟高雄大路過,,https://maps.app.goo.gl/WehbyYubiSFRURiS6,文化路23號,800高雄市新興區文化路23號,4.8,158,$200-400,,,22.6239149,120.3064132,bb,https://maps.app.goo.gl/WehbyYubiSFRURiS6,
24,眷鳥咖啡商行,高雄市,前金區,咖啡店,,,https://maps.app.goo.gl/bca8DCtgtnWfCuXb8,成功一路292-1號,801高雄市前金區成功一路292-1號,4.7,151,$200-400,,,22.6205175,120.2954187,,https://maps.app.goo.gl/bca8DCtgtnWfCuXb8,
25,岸等,高雄市,鹽埕區,亞洲料理,,,https://maps.app.goo.gl/SBbmjez8Sib38SNUA,五福四路63巷19號1樓,803高雄市鹽埕區五福四路63巷19號1樓,4.9,91,"$800-1,000",,,22.6212804,120.2867634,,https://maps.app.goo.gl/SBbmjez8Sib38SNUA,
26,六木咖啡（只有六日營業）,高雄市,苓雅區,咖啡店,,,https://maps.app.goo.gl/cddCGmLNfkurvwhB8,凱旋三路499號1樓,802高雄市苓雅區凱旋三路499號1樓,4.8,13,$1-200,,,22.6140861,120.3270927,,https://maps.app.goo.gl/cddCGmLNfkurvwhB8,
27,暗坑文化工作室,新北市,新店區,文化中心,,,https://maps.app.goo.gl/y5tQtMdAT6qomvTb8,如意街8號地下1樓之11,231新北市新店區如意街8號地下1樓之11,4.6,10,,,,24.9484109,121.4947221,,https://maps.app.goo.gl/y5tQtMdAT6qomvTb8,
28,摩斯漢堡 小碧潭店,新北市,新店區,漢堡飽,,,https://maps.app.goo.gl/JyLCAFy1CaqbuMGK8,中央路216號,231新北市新店區中央路216號,3.5,613,$1-200,,,24.9733334,121.5297852,,https://maps.app.goo.gl/JyLCAFy1CaqbuMGK8,
29,Rhythm Barbershop,台北市,大安區,男士理髮店,"Neil 是台派
脆帳是 barber_neiltpe(BY店家本人/親屬)",,https://maps.app.goo.gl/cL93t75PC4RPuYJh8,信義路四段30巷38-1號,106台北市大安區信義路四段30巷38-1號,5,192,,,,25.0320383,121.5445465,,https://maps.app.goo.gl/cL93t75PC4RPuYJh8,
30,開飯川食堂 永和店,新北市,永和區,四川料理,,,https://maps.app.goo.gl/CcuX2kKnbypdkNoh7,中山路一段238號比漾廣場B2,234新北市永和區中山路一段238號比漾廣場B2,4.2,"1,525",$400-600,,,25.0080005,121.5076013,,https://maps.app.goo.gl/CcuX2kKnbypdkNoh7,
31,開飯川食堂 中和環球店,新北市,中和區,四川料理,,,https://maps.app.goo.gl/8U8UwthycBbuvfq77,中山路三段122號環球購物中心4樓,235新北市中和區中山路三段122號環球購物中心4樓,4.2,544,$600-800,,,25.0066732,121.4747785,,https://maps.app.goo.gl/8U8UwthycBbuvfq77,
32,開飯川食堂 微風廣場店,新北市,板橋區,四川料理,,,"https://www.google.com/maps/search/%E9%96%8B%E9%A3%AF%E5%B7%9D%E9%A3%9F%E5%A0%82+%E5%BE%AE%E9%A2%A8%E5%BB%A3%E5%A0%B4%E5%BA%97+%E5%BE%A9%E8%88%88%E5%8D%97%E8%B7%AF%E4%B8%80%E6%AE%B539%E8%99%9FB1%E6%A8%93/@24.5865216,120.4466201,9z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MDkyMy4wIKXMDSoASAFQAw%3D%3D",復興南路一段39號B1樓,105041台北市松山區復興南路一段39號B1樓,4.6,259,$600-800,,,25.0461561,121.5444105,,,
33,開飯川食堂 板橋店,新北市,板橋區,四川料理,,,https://maps.app.goo.gl/75KSChRtzpT9McB4A,中山路一段152號板橋中山遠百13樓,220新北市板橋區中山路一段152號板橋中山遠百13樓,4.2,"1,431",$600-800,,,25.0109601,121.4644536,,https://maps.app.goo.gl/75KSChRtzpT9McB4A,
34,開飯川食堂 台茂店,桃園市,蘆竹區,四川料理,,,https://maps.app.goo.gl/Ter8F4gedi97NmKG7,南崁路一段112號台茂購物中心6樓,338桃園市蘆竹區南崁路一段112號台茂購物中心6樓,4.4,"1,389",$400-600,,,25.0536603,121.2885645,,https://maps.app.goo.gl/Ter8F4gedi97NmKG7,
35,開飯川食堂 微風南山店,台北市,信義區,四川料理,,,https://maps.app.goo.gl/ba2wTVQun2QcCeh87,松智路17號微風南山5樓,110421台北市信義區松智路17號微風南山5樓,4.6,"1,118",$600-800,,,25.0343726,121.566371,,https://maps.app.goo.gl/ba2wTVQun2QcCeh87,
36,開飯川食堂 宏匯店,新北市,新莊區,四川料理,,,https://maps.app.goo.gl/qPRvhWGYyoPNXRtP7,新北大道四段3號宏匯廣場B2,242新北市新莊區新北大道四段3號宏匯廣場B2,4.2,"1,239",$600-800,,,25.0596005,121.4495833,,https://maps.app.goo.gl/qPRvhWGYyoPNXRtP7,
37,開飯川食堂 南港店,台北市,南港區,四川料理,,,https://maps.app.goo.gl/sG9LZyMmQkkFdwWMA,經貿二路186-1號C棟3樓,11568台北市南港區經貿二路186-1號C棟3F,4.2,"1,548",$600-800,,,25.0585798,121.6147947,,https://maps.app.goo.gl/sG9LZyMmQkkFdwWMA,
38,開飯川食堂 左營店,高雄市,左營區,餐廳,,,https://maps.app.goo.gl/d2damfh7FwNuDMNq9,高鐵路115號彩虹市集 新光三越4樓,"813高雄市左營區高鐵路115號彩虹市集 新光三越, 4樓",4.7,"1,575",$400-600,,,22.6876494,120.3091962,,https://maps.app.goo.gl/d2damfh7FwNuDMNq9,
39,開飯川食堂 花蓮遠百店,花蓮縣,花蓮市,四川料理,,,https://maps.app.goo.gl/MMFLUoVzCfBjudSu8,和平路581號2樓,970花蓮縣花蓮市和平路581號2樓,4.9,"1,115",$600-800,,,23.9781431,121.5996077,,https://maps.app.goo.gl/MMFLUoVzCfBjudSu8,
40,開飯川食堂 中壢店,桃園市,中壢區,四川料理,,,https://maps.app.goo.gl/wSjNjAczdhJ7PHzw6,元化路357號中壢SOGO8樓,320桃園市中壢區元化路357號中壢SOGO8樓,4.7,"3,406",$400-800,,,24.9626957,121.2238507,,https://maps.app.goo.gl/wSjNjAczdhJ7PHzw6,
41,開飯川食堂 夢時代店,高雄市,前鎮區,餐廳,,,https://maps.app.goo.gl/jEFFuTqkknsbBud16,中華五路789號綠區3樓(夢時代購物中心,806高雄市前鎮區中華五路789號綠區3樓(夢時代購物中心,4.6,"2,116",$400-800,,,22.5953474,120.3079342,,https://maps.app.goo.gl/jEFFuTqkknsbBud16,
42,開飯川食堂 義享店,高雄市,鼓山區,四川料理,,,https://maps.app.goo.gl/YtZL1tpzHDRvDjyN6,大順一路115號天地A館7樓,804高雄市鼓山區大順一路115號天地A館7樓,4.9,"3,808",$600-800,,,22.6557138,120.3062344,,https://maps.app.goo.gl/YtZL1tpzHDRvDjyN6,
43,開飯川食堂 西門店,台南市,中西區,四川料理,,,https://maps.app.goo.gl/vh8wGQkY5mEtQ6Au6,新光三越新天地B2,700台南市中西區新光三越新天地B2,4.8,216,$400-800,,,22.9872693,120.1979129,,https://maps.app.goo.gl/vh8wGQkY5mEtQ6Au6,
44,開飯川食堂 宜蘭新月店,宜蘭縣,宜蘭市,四川料理,,,https://maps.app.goo.gl/Jaz1M1ZNAFXsTac29,民權路二段38巷6號4樓,260宜蘭縣宜蘭市民權路二段38巷6號4樓,4.8,1773,$600-800,,,24.7540596,121.7505349,,https://maps.app.goo.gl/Jaz1M1ZNAFXsTac29,
45,開飯川食堂 桃園店,桃園市,桃園區,四川料理,,,https://maps.app.goo.gl/68WQJvxY828cU2H3A,中正路20號遠東百貨10樓,330桃園市桃園區中正路20號遠東百貨10樓,4.7,"2,058",$600-800,,,24.9897388,121.3137948,,https://maps.app.goo.gl/68WQJvxY828cU2H3A,
46,開飯川食堂 竹北遠百店,新竹縣,竹北市,四川料理,,,https://maps.app.goo.gl/2zUt9poPe71wjRtK8,莊敬北路18號6樓,302新竹縣竹北市莊敬北路18號6樓,4.7,680,$600-800,,,24.8221913,121.023372,,https://maps.app.goo.gl/2zUt9poPe71wjRtK8,
47,開飯川食堂 嘉義耐斯店,嘉義市,東區,四川料理,,,https://maps.app.goo.gl/sCdQ2rsXWf86FpYY6,忠孝路600號6樓,600052嘉義市東區忠孝路600號6樓,4.6,212,$600-800,,,23.4965197,120.4525821,,https://maps.app.goo.gl/sCdQ2rsXWf86FpYY6,
48,開飯川食堂 新竹巨城店,新竹市,東區,四川料理,,,https://maps.app.goo.gl/uoYzqhh7vGJ5dzn9A,中央路229號7樓,300新竹市東區中央路229號7樓,4.5,2244,$400-800,,,24.8094861,120.974721,,https://maps.app.goo.gl/uoYzqhh7vGJ5dzn9A,
49,純潔｜chun jie studio |（店休請看專頁公告）,台南市,北區,咖啡店,裡面有掛退回黑箱服貿ㄉ布條🥹🥹🥹,,https://maps.app.goo.gl/m6pzMZbiK4o1WjMU7,裕民街83巷19號,704台南市北區裕民街83巷19號,4.9,103,$200-400,,,23.0003425,120.2041809,,https://maps.app.goo.gl/m6pzMZbiK4o1WjMU7,
50,阿振肉包 振味珍,彰化縣,鹿港鎮,中式包點店,,,https://maps.app.goo.gl/qTbAZ8zF4oXYUmAG7,中山路71號,505彰化縣鹿港鎮中山路71號,4.2,"7,015",$1-200,,,24.0520697,120.4362256,,https://maps.app.goo.gl/qTbAZ8zF4oXYUmAG7,
51,LALA Kitchen 新竹科園店,新竹市,東區,美國菜,,,https://maps.app.goo.gl/Sh4NF7PQucgWjkg78,金山十八街2-3號,300新竹市東區金山十八街2-3號,4,993,$400-600,,,24.7774515,121.0249286,,https://maps.app.goo.gl/Sh4NF7PQucgWjkg78,
52,LALA Kitchen 交大店,新竹市,東區,現代美式料理,,,https://maps.app.goo.gl/fdk3LVrTxKYA92pg6,大學路1001號,300新竹市東區大學路1001號,4,880,$400-600,,,24.7862836,120.9996931,,https://maps.app.goo.gl/fdk3LVrTxKYA92pg6,
53,LALA Kitchen 交大店,新竹市,東區,現代美式料理,,,https://maps.app.goo.gl/Q3GiG1KjFd1nq4kD9,大學路1001號,300新竹市東區大學路1001號,3.8,"1,204",$400-600,,,24.7862836,120.9996931,,https://maps.app.goo.gl/Q3GiG1KjFd1nq4kD9,
54,饗泰多 Siam More 泰式風格餐廳 天母店,台北市,士林區,餐廳,,,https://maps.app.goo.gl/5PfvKVh7UQqC7GwC7,忠誠路二段55號大葉高島屋 台北天母5樓,111027台北市士林區忠誠路二段55號大葉高島屋 台北天母5樓,4.7,"1,360",$400-800,,,25.1118523,121.5314695,,https://maps.app.goo.gl/5PfvKVh7UQqC7GwC7,
55,饗泰多 SIAM MORE 泰式風格餐廳 微風松高店,台北市,信義區,泰國菜,,,https://maps.app.goo.gl/JJM8egB8qdy6nULD8,信義區松高路16號3樓(微風松高3樓),台北市信義區松高路16號3樓(微風松高3樓),4.5,"2,325",$600-800,,,25.036089,121.567423,,https://maps.app.goo.gl/JJM8egB8qdy6nULD8,
56,饗泰多 SIAM MORE 泰式風格餐廳 新莊宏匯店,新北市,新莊區,泰國菜,,,https://maps.app.goo.gl/sWX7m3s6Kf5xa8V16,新北大道四段3號宏匯廣場B2,242新北市新莊區新北大道四段3號宏匯廣場B2,4.4,"1,729",$400-800,,,24.3269785,120.702336,,https://maps.app.goo.gl/sWX7m3s6Kf5xa8V16,
57,饗泰多泰式風格餐廳 基隆店,基隆市,中正區,泰國菜,,,https://maps.app.goo.gl/R4fNSLK9aGVZeazN6,中正路3號2樓,202基隆市中正區中正路3號2樓,4.8,747,$600-800,,,25.1336736,121.7445699,,https://maps.app.goo.gl/R4fNSLK9aGVZeazN6,
58,開飯川食堂 文心店,台中市,南屯區,四川料理,,,https://maps.app.goo.gl/uqiGnBbqfenwsyu8A,文心南路289號秀泰生活台中文心店6樓,408台中市南屯區文心南路289號秀泰生活台中文心店6樓,4.4,1496,,,,24.1297588,120.645765,,https://maps.app.goo.gl/uqiGnBbqfenwsyu8A,
59,開飯川食堂 中友店,台中市,北區,四川料理,,,https://maps.app.goo.gl/2gQmgKomd3Tzd8dK9,三民路三段161號 A棟11樓(中友百貨,404台中市北區三民路三段161號 A棟11樓(中友百貨,4.2,496,$400-600,,,24.1522437,120.6848058,,https://maps.app.goo.gl/2gQmgKomd3Tzd8dK9,
60,開飯川食堂 台中大遠百店,台中市,西屯區,四川料理,,,https://maps.app.goo.gl/GVbdsWEatx7RNKsn7,臺灣大道三段251號台中大遠百11樓,407台中市西屯區臺灣大道三段251號台中大遠百11樓,4.2,1354,$400-800,,,24.1637002,120.6446167,,https://maps.app.goo.gl/GVbdsWEatx7RNKsn7,
61,開飯川食堂 環球A19店 5F,桃園市,中壢區,四川料理,,,https://maps.app.goo.gl/6np1jpSUkgyR7n7w5,高鐵南路二段352號5樓,320014桃園市中壢區高鐵南路二段352號5樓,4.8,952,$600-800,,,25.0019989,121.2024647,,https://maps.app.goo.gl/6np1jpSUkgyR7n7w5,
62,開飯川食堂 竹北光明店,新竹縣,竹北市,四川料理,,,https://maps.app.goo.gl/Q7kP61cTLSPMySMe9,光明一路256號,302新竹縣竹北市光明一路256號,4.2,"1,591",$400-800,,,24.8306265,121.0147889,,https://maps.app.goo.gl/Q7kP61cTLSPMySMe9,
63,開飯川食堂 台中麗寶店,台中市,后里區,四川料理,,,https://maps.app.goo.gl/XrLi4wfnZ52LwMKj6,福容路201號D區1樓,421408台中市后里區福容路201號D區1樓,4.8,725,$600-800,,,24.3271251,120.7023705,,https://maps.app.goo.gl/XrLi4wfnZ52LwMKj6,
64,開飯川食堂 文心店,台中市,南屯區,四川料理,,,https://maps.app.goo.gl/eapzNzSVSce1RzrdA,文心南路289號秀泰生活台中文心店6樓,408台中市南屯區文心南路289號秀泰生活台中文心店6樓,4.7,522,$600-800,,,24.1297588,120.645765,,https://maps.app.goo.gl/eapzNzSVSce1RzrdA,
65,開飯川食堂 天母店,台北市,士林區,四川料理,,,https://maps.app.goo.gl/oJ8MyawjZ9QmwMGj8,忠誠路二段55號5樓,111027台北市士林區忠誠路二段55號5樓,4.7,1076,$600-800,,,25.111857,121.531367,,https://maps.app.goo.gl/oJ8MyawjZ9QmwMGj8,
66,蘭嶼旅人·Rover,台東縣,蘭嶼鄉,美國菜,,,https://maps.app.goo.gl/RkdcNXtJuFnMCvCb7,紅頭村漁人1-1號,紅頭村漁人1-1號,4.4,"1,580",$200-400,,,22.0435616,121.548418,,https://maps.app.goo.gl/RkdcNXtJuFnMCvCb7,
67,小恐龍阿圈與鼠妹妹的寄宿窩（鼠籠販售/倉鼠寄宿）,高雄市,大社區,寵物寄養服務,,,https://maps.app.goo.gl/KuTy7YTAKMXbNibT8,萬金路174號,815高雄市大社區萬金路174號,4.7,35,,,,22.7524065,120.3410072,,https://maps.app.goo.gl/KuTy7YTAKMXbNibT8,
68,H500 Cafe,台中市,豐原區,咖啡店,,,https://maps.app.goo.gl/BEqH29GzEgThioSE8,420台中市豐原區,420台中市豐原區,5,3,,,,24.2530319,120.7627507,,https://maps.app.goo.gl/BEqH29GzEgThioSE8,
69,KYMCO 光陽機車 鉷泰機車行,新北市,板橋區,電單車店,,,https://maps.app.goo.gl/ETGp4n6TN6u3S65T9,南雅西路二段98號,220新北市板橋區南雅西路二段98號,4.3,61,,,,25.0116387,121.452374,,https://maps.app.goo.gl/ETGp4n6TN6u3S65T9,
70,饗泰多泰式風格餐廳 永和比漾店,新北市,永和區,泰國菜,為饗賓餐旅集團旗下品牌 饗賓餐旅集團老闆在總統大選中支持賴蕭配 · https://www.mirrormedia.mg/story/20240112edi021?fbclid=IwY2xjawHCAy9leHRuA2FlbQIxMAABHZ_L9xZJp8ambYgl1Y14XwSHNuYimhk-HgdGMhX1SlrM-1iBXrDm0_g2fg_aem_9RQNyBB-C_hG5PtEGuU5uA,,https://maps.app.goo.gl/oYcWCbgF7psJzRkt7,中山路一段238號2樓,234406新北市永和區中山路一段238號2F,4.9,3928,$400-800,,,25.0074958,121.5071105,,https://maps.app.goo.gl/oYcWCbgF7psJzRkt7,
71,開飯川食堂 京站店,台北市,大同區,四川料理,,,https://maps.app.goo.gl/4aLpBdwvCG8XB2JBA,承德路一段1號京站時尚廣場號B3,103台北市大同區承德路一段1號京站時尚廣場號B3,4.2,"2,202",$600-800,,,25.049308,121.5171935,,https://maps.app.goo.gl/4aLpBdwvCG8XB2JBA,
72,開飯川食堂 市府店,台北市,信義區,四川料理,,,https://maps.app.goo.gl/wwUiDx1pV5HbNafNA,忠孝東路五段8號7樓,110台北市信義區忠孝東路五段8號7F,4.2,"1,869",$400-600,,,25.0406227,121.5654586,,https://maps.app.goo.gl/wwUiDx1pV5HbNafNA,
73,開飯川食堂 敦化店,台北市,大安區,四川料理,為饗賓餐旅集團旗下品牌 饗賓餐旅集團老闆在總統大選中支持賴蕭配 · https://www.mirrormedia.mg/story/20240112edi021?fbclid=IwY2xjawHCAy9leHRuA2FlbQIxMAABHZ_L9xZJp8ambYgl1Y14XwSHNuYimhk-HgdGMhX1SlrM-1iBXrDm0_g2fg_aem_9RQNyBB-C_hG5PtEGuU5uA,,https://maps.app.goo.gl/a8W2WZsTb9FAtZ8p6,106,"敦化南路一段246號 B2(SOGO 敦化館, 大安區台北市106",4.2,935,$600-800,,,25.0400562,121.5483169,,https://maps.app.goo.gl/a8W2WZsTb9FAtZ8p6,
74,保壽藥房,桃園市,桃園區,中藥店,,,https://maps.app.goo.gl/FHbWGw9aphzNLvBUA,新生路51號,33041桃園市桃園區新生路51號,4.5,65,,,,24.9972748,121.3102152,,https://maps.app.goo.gl/FHbWGw9aphzNLvBUA,
75,Bar Mirage | 海市蜃樓,台南市,中西區,雞尾酒酒吧,,,https://maps.app.goo.gl/EayYFSsUhFSNmRJg6,海安路二段22巷1號,700台南市中西區海安路二段22巷1號,4.5,139,$400-800,,,22.9937533,120.1963607,,https://maps.app.goo.gl/EayYFSsUhFSNmRJg6,
76,海人之島潛水俱樂部 OceanKind Dive Club｜SDI TDI 國際水肺潛水訓練中心 · 休閒潛水 · 技術潛水 · 側掛潛水,台北市,信義區,潛水中心,,,https://maps.app.goo.gl/f1vQMwq9Un5YgLQJ6,永吉路278巷17號1樓,11067台北市信義區永吉路278巷17號1F,5,31,,,,25.0448398,121.5742572,,https://maps.app.goo.gl/f1vQMwq9Un5YgLQJ6,
77,夏覓Charmé de Shao,台中市,西屯區,服裝和布料批發商,,,https://maps.app.goo.gl/mVcZxsDBAaNo5Bjd8,福上巷214弄59號,407台中市西屯區福上巷214弄59號,5,11,,,,24.1762234,120.6492757,,https://maps.app.goo.gl/mVcZxsDBAaNo5Bjd8,
78,Meat Up 覓晌 台北西門店｜早午餐｜義大利麵｜舒芙蕾｜寵物友善,台北市,萬華區,現代美式料理,,,https://maps.app.goo.gl/3o15f1yFVYrWLLqV8,武昌街二段37號6樓,108台北市萬華區武昌街二段37號6樓,4.5,10564,$400-600,,,25.0446517,121.5076793,,https://maps.app.goo.gl/3o15f1yFVYrWLLqV8,
79,Pulima Bistro 原食,屏東縣,屏東市,小餐館 (Bistro),,,https://maps.app.goo.gl/C9BnfCy9z22Nn4Nz8,康定街10號,900屏東縣屏東市康定街10號,4.5,95,$400-600,,,22.6777842,120.4852416,,https://maps.app.goo.gl/C9BnfCy9z22Nn4Nz8,
80,阿三哥牛肉麵（大里店）,台中市,大里區,餐廳,牆上有挺英貼紙,,https://maps.app.goo.gl/V5NJwDBt2aqHvd6NA,立仁路42-3號,412台中市大里區立仁路42-3號,4.1,176,$1-200,,,24.1099899,120.7022396,,https://maps.app.goo.gl/V5NJwDBt2aqHvd6NA,
81,Jesse Claire Ice Cream,高雄市,三民區,冰品飲料店,歡迎去看粉專！,,https://maps.app.goo.gl/c268Zx7dmUk5M6mdA,瀋陽街141號,807高雄市三民區瀋陽街141號,4.9,561,$1-200,,,22.6439544,120.3073831,,https://maps.app.goo.gl/c268Zx7dmUk5M6mdA,
82,眼鏡工場眼鏡行-枋寮,屏東縣,枋寮鄉,商店,我表哥開的店！挺台灣第一名！,,https://maps.app.goo.gl/5dPYz7X2D8BfhcZN8,中山路246-4號,940屏東縣枋寮鄉中山路246-4號,4.2,32,,,,22.3683093,120.593508,,https://maps.app.goo.gl/5dPYz7X2D8BfhcZN8,
83,阿肚仔地瓜餅,屏東縣,潮州鎮,熟食店,貓英曾經造訪，現在攤上仍貼有貓英與店主合照🫶🏼,,https://maps.app.goo.gl/z7B2dXtirNTcqPWj7,清水南路47號,920屏東縣潮州鎮清水南路47號,4.4,238,$1-200,,,22.5486007,120.54017,,https://maps.app.goo.gl/z7B2dXtirNTcqPWj7,
84,Alex Reggae Bar,屏東縣,恆春鎮,酒吧,,,https://maps.app.goo.gl/bo5QBp5rFKAYBseQ7,大灣路176號,946屏東縣恆春鎮大灣路176號,4.5,236,$200-400,,,21.9445036,120.7977183,,https://maps.app.goo.gl/bo5QBp5rFKAYBseQ7,
